,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
129,-3,2968,2991,2498.12,2501.71,,,-13.769898000000437,2.999898,-0.001837368100811787,2024-09-09 08:00:00+00:00,2024-09-10 08:00:00+00:00,1 days 00:00:00,
130,3,2991,3014,2501.71,2519.5,,,50.35727399999989,3.0127260000000002,0.006709713755791029,2024-09-10 08:00:00+00:00,2024-09-11 08:00:00+00:00,1 days 00:00:00,
131,3,3014,3037,2519.5,2516.92,,,-10.76185199999978,3.021852,-0.0014238078983924772,2024-09-11 08:00:00+00:00,2024-09-12 08:00:00+00:00,1 days 00:00:00,
132,3,3037,3060,2516.92,2568.71,,,152.3186219999999,3.051378,0.020172621299048104,2024-09-12 08:00:00+00:00,2024-09-13 08:00:00+00:00,1 days 00:00:00,
133,3,3060,3083,2568.71,2585.7,,,47.87735399999934,3.0926460000000002,0.006212892074231812,2024-09-13 08:00:00+00:00,2024-09-16 08:00:00+00:00,3 days 00:00:00,
134,-3,3083,3106,2585.7,2576.81,,,23.57249399999962,3.097506,0.0030388281703213624,2024-09-16 08:00:00+00:00,2024-09-17 08:00:00+00:00,1 days 00:00:00,
135,3,3106,3129,2576.81,2568.55,,,-27.867215999999292,3.087216,-0.003604872691428483,2024-09-17 08:00:00+00:00,2024-09-18 08:00:00+00:00,1 days 00:00:00,
136,-3,3129,3152,2568.55,2563.95,,,10.720500000001092,3.0795000000000003,0.0013912518736253635,2024-09-18 08:00:00+00:00,2024-09-19 08:00:00+00:00,1 days 00:00:00,
137,3,3152,3175,2563.95,2593.66,,,86.03543400000011,3.094566,0.011185271943680585,2024-09-19 08:00:00+00:00,2024-09-20 08:00:00+00:00,1 days 00:00:00,
138,-3,3175,3198,2593.66,2629.3,,,-110.05377600000098,3.133776,-0.014143947934579088,2024-09-20 08:00:00+00:00,2024-09-23 08:00:00+00:00,3 days 00:00:00,
